{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.007004976272583008, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 207, 'mouseY': 601, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.02301621437072754, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 209, 'mouseY': 601, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.03902697563171387, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 210, 'mouseY': 601, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.0550382137298584, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 211, 'mouseY': 601, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.06304383277893066, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 213, 'mouseY': 600, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.07104992866516113, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 213, 'mouseY': 600, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.0790557861328125, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 215, 'mouseY': 600, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.08706188201904297, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 216, 'mouseY': 600, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.09506630897521973, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 218, 'mouseY': 600, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.11908531188964844, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 219, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.22315740585327148, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 219, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.23917031288146973, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 221, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.25518059730529785, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 222, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
